country_id,latitude,longitude,bright_ti4,scan,track,tanggal_f,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,Kota,lat_p,lon_p,distance,hs
IDN,-3.46472,104.849,339.73,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.53,7.74,D,Palembang,-2.9831,104.7527,54.3,1
IDN,-3.46193,104.84502,346.02,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.88,7.74,D,Palembang,-2.9831,104.7527,53.9,1
IDN,-3.4586,104.84452,337.47,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.27,8.21,D,Palembang,-2.9831,104.7527,53.6,1
IDN,-3.45489,104.86885,339.29,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,308.91,7.8,D,Palembang,-2.9831,104.7527,53.7,1
IDN,-3.43211,104.68408,335.17,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,306.67,4.07,D,Palembang,-2.9831,104.7527,50.2,1
IDN,-3.42554,105.06065,347.04,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.32,4.25,D,Palembang,-2.9831,104.7527,59.7,1
IDN,-3.4222,105.06014,335.95,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.47,4.25,D,Palembang,-2.9831,104.7527,59.4,1
IDN,-3.41941,105.05936,343.56,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.14,9.11,D,Palembang,-2.9831,104.7527,59.1,1
IDN,-3.4166,105.05535,350.3,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.29,10.11,D,Palembang,-2.9831,104.7527,58.6,1
IDN,-3.41607,105.05885,353.93,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.53,9.11,D,Palembang,-2.9831,104.7527,58.7,1
IDN,-3.4138,105.05135,340.53,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.65,11.96,D,Palembang,-2.9831,104.7527,58.1,1
IDN,-3.41327,105.05485,333.87,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.44,11.96,D,Palembang,-2.9831,104.7527,58.2,1
IDN,-3.40925,104.87936,338.29,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.4,3.97,D,Palembang,-2.9831,104.7527,49.2,1
IDN,-3.40539,104.88234,336.73,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,307.56,6.43,D,Palembang,-2.9831,104.7527,48.9,1
IDN,-3.38891,104.90121,343.31,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.04,5.02,D,Palembang,-2.9831,104.7527,47.8,1
