latitude,longitude,bright_ti4,Tanggal,tgl,kota,lat_pol,lon_pol,PM2_5,ISPU_PM_2_5,PM10,geo,jarak,hs,,,,,,,,,,,,
-3.79078,103.81592,331.8,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.79078103.81592,137.1620152,1,,,,,,,,,,,,
-3.79013,105.7386,302.56,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.79013105.73860,141.3040851,1,,,,,,,,,,,,
-3.78958,105.7422,349.73,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.78958105.74220,141.5761936,1,,,,,,,,,,,,
-3.78694,103.81887,341.24,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.78694103.81887,136.6369288,1,,,,,,,,,,,,
-3.78537,104.70407,333.58,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.78537104.70407,88.8779861,1,,,,,,,,,,,,
-3.77701,105.54208,339.18,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.77701105.54208,124.1042722,1,,,,,,,,,,,,
-3.77365,105.54158,339.8,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.77365105.54158,123.8024861,1,,,,,,,,,,,,
-3.77352,104.60336,348.39,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.77352104.60336,88.96477232,1,,,,,,,,,,,,
-3.77091,105.44656,333.29,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.77091105.44656,116.3371396,1,,,,,,,,,,,,
-3.77021,104.60286,340.45,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.77021104.60286,88.61563575,1,,,,,,,,,,,,
-3.76318,105.77882,340.04,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.76318105.77882,142.9808466,1,,,,,,,,,,,,
-3.76262,105.78242,346.5,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.76262105.78242,143.2628627,1,,,,,,,,,,,,
-3.76096,104.61912,334.56,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.76096104.61912,87.28583172,1,,,,,,,,,,,,
-3.76095,105.79325,333.75,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.76095105.79325,144.1157596,1,,,,,,,,,,,,
-3.76035,105.7747,333.46,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.76035105.77470,142.4270523,1,,,,,,,,,,,,
-3.74967,105.56351,349.93,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.74967105.56351,123.7089592,1,,,,,,,,,,,,
-3.74912,105.56708,341.99,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.74912105.56708,123.9566647,1,,,,,,,,,,,,
-3.74484,105.37016,333.35,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.74484105.37016,108.6430345,1,,,,,,,,,,,,
-3.7443,105.37369,339.78,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.74430105.37369,108.8450472,1,,,,,,,,,,,,
-3.74322,105.38076,346.86,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.74322105.38076,109.2529866,1,,,,,,,,,,,,
-3.74203,105.36611,354.42,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.74203105.36611,108.1180409,1,,,,,,,,,,,,
-3.74149,105.36965,335.26,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.74149105.36965,108.3202781,1,,,,,,,,,,,,
-3.7349,103.73682,340.54,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.73490103.73682,140.1997191,1,,,,,,,,,,,,
-3.73196,104.72082,337.14,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.73196104.72082,82.88326774,1,,,,,,,,,,,,
-3.72755,105.37116,332.94,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72755105.37116,107.239108,1,,,,,,,,,,,,
-3.72606,103.63856,336.49,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72606103.63856,148.5908794,1,,,,,,,,,,,,
-3.72475,105.36712,352.07,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72475105.36712,106.7138614,1,,,,,,,,,,,,
-3.72429,105.82093,343.3,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72429105.82093,144.2560407,1,,,,,,,,,,,,
-3.72327,103.6346,334.43,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72327103.63460,148.7879872,1,,,,,,,,,,,,
-3.72312,105.51206,332.44,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72312105.51206,117.5472368,1,,,,,,,,,,,,
-3.72274,103.63807,334.78,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72274103.63807,148.4338339,1,,,,,,,,,,,,
-3.72258,105.51562,333.27,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72258105.51562,117.7901318,1,,,,,,,,,,,,
-3.7214,105.36662,354.83,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.72140105.36662,106.3938784,1,,,,,,,,,,,,
-3.71967,105.35551,336.82,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71967105.35551,105.4586361,1,,,,,,,,,,,,
-3.71913,105.35904,344.43,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71913105.35904,105.6622718,1,,,,,,,,,,,,
-3.71859,105.36257,352.32,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71859105.36257,105.8670033,1,,,,,,,,,,,,
