country_id,latitude,longitude,bright_ti4,scan,track,tanggal,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,lat_p,lon_p
IDN,-3.78958,105.7422,349.73,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,302.01,26.09,D,-2.9831,104.7527
IDN,-3.78694,103.81887,341.24,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.28,4.17,D,-2.9831,104.7527
IDN,-3.78537,104.70407,333.58,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,306.98,5.38,D,-2.9831,104.7527
IDN,-3.77701,105.54208,339.18,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,302.34,4.36,D,-2.9831,104.7527
IDN,-3.77365,105.54158,339.8,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,302.43,8.9,D,-2.9831,104.7527
IDN,-3.77352,104.60336,348.39,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,310.12,11.46,D,-2.9831,104.7527
IDN,-3.77091,105.44656,333.29,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.24,2.79,D,-2.9831,104.7527
IDN,-3.77021,104.60286,340.45,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,306.16,11.46,D,-2.9831,104.7527
IDN,-3.76318,105.77882,340.04,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.71,4.6,D,-2.9831,104.7527
IDN,-3.76262,105.78242,346.5,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,302.08,12.52,D,-2.9831,104.7527
IDN,-3.76096,104.61912,334.56,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,306.73,4.29,D,-2.9831,104.7527
IDN,-3.76095,105.79325,333.75,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.9,5.28,D,-2.9831,104.7527
IDN,-3.76035,105.7747,333.46,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.35,4.6,D,-2.9831,104.7527
IDN,-3.74967,105.56351,349.93,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,310.07,31.09,D,-2.9831,104.7527
IDN,-3.74912,105.56708,341.99,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,303.02,6.74,D,-2.9831,104.7527
IDN,-3.74484,105.37016,333.35,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.29,3.71,D,-2.9831,104.7527
IDN,-3.7443,105.37369,339.78,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.56,3.71,D,-2.9831,104.7527
IDN,-3.74322,105.38076,346.86,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,303.88,9.06,D,-2.9831,104.7527
IDN,-3.74203,105.36611,354.42,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,310.07,24.19,D,-2.9831,104.7527
IDN,-3.74149,105.36965,335.26,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.7,3.71,D,-2.9831,104.7527
IDN,-3.7349,103.73682,340.54,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.27,7.46,D,-2.9831,104.7527
IDN,-3.73196,104.72082,337.14,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.25,6.28,D,-2.9831,104.7527
IDN,-3.72755,105.37116,332.94,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.12,2.85,D,-2.9831,104.7527
IDN,-3.72606,103.63856,336.49,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.93,2.86,D,-2.9831,104.7527
IDN,-3.72475,105.36712,352.07,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.66,17.64,D,-2.9831,104.7527
IDN,-3.72429,105.82093,343.3,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.43,5.92,D,-2.9831,104.7527
IDN,-3.72327,103.6346,334.43,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.27,6.69,D,-2.9831,104.7527
IDN,-3.72312,105.51206,332.44,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.38,3.17,D,-2.9831,104.7527
IDN,-3.72274,103.63807,334.78,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.22,6.69,D,-2.9831,104.7527
IDN,-3.72258,105.51562,333.27,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.14,3.17,D,-2.9831,104.7527
IDN,-3.7214,105.36662,354.83,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.54,17.64,D,-2.9831,104.7527
IDN,-3.71967,105.35551,336.82,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.83,5.49,D,-2.9831,104.7527
IDN,-3.71913,105.35904,344.43,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.37,4.96,D,-2.9831,104.7527
IDN,-3.71859,105.36257,352.32,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.38,4.96,D,-2.9831,104.7527
IDN,-3.71823,105.40958,335.51,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,303.15,6.04,D,-2.9831,104.7527
IDN,-3.71805,105.36611,337.17,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.68,5.53,D,-2.9831,104.7527
IDN,-3.71703,105.52937,334.64,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.58,2.94,D,-2.9831,104.7527
IDN,-3.71696,105.37318,345.37,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.05,7.16,D,-2.9831,104.7527
IDN,-3.7166,105.4202,335.57,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,302.52,5.6,D,-2.9831,104.7527
IDN,-3.71578,105.35854,338.82,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.32,4.96,D,-2.9831,104.7527
IDN,-3.71485,105.54363,343.43,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.77,6.8,D,-2.9831,104.7527
IDN,-3.69651,105.38028,331.45,0.39,0.37,2023-10-01,629,1,VIIRS,l,2.0NRT,305.74,4,D,-2.9831,104.7527
IDN,-3.6956,104.60178,342.51,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.21,4.37,D,-2.9831,104.7527
IDN,-3.69544,105.29703,351.94,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.22,9.07,D,-2.9831,104.7527
IDN,-3.69418,103.84956,337.51,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.35,4.95,D,-2.9831,104.7527
IDN,-3.6924,105.53293,330.15,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,298.53,3.8,D,-2.9831,104.7527
